Koira,Dog
Kissa,Cat
Etana,Snail
Delfiini,Dolphin
Apina,Monkey
Hai,Shark
Siili,Hedgehog
Norsu,Elephant
Ötökkä,Bug
Yksisarvinen,Unicorn
Kirahvi,Giraffe
Seepra,Zebra
Strutsi,Ostrich
Leijona,Lion
Peura,Deer
Karhu,Bear
Kettu,Fox
Hiiri,Mouse
Kukko,Rooster
Kani,Rabbit
Hevonen,Horse
Lehmä,Cow
Vuohi,Goat
Ankka,Duck
Hanhi,Goose
Kalkkuna,Turkey
Lammas,Sheep
Sika,Pig
Rapu,Crab
Leppäkerttu,Ladybug
Sammakko,Frog
Mehiläinen,Bee
Valas,Whale
Perhonen,Butterfly
Kala,Fish
Aasi,Donkey
Tiikeri,Tiger
Kana,Chicken
Lintu,Bird
Käärme,Snake
Kilpikonna,Turtle
Pingviini,Penguin
Pöllö,Owl
Hämähäkki,Spider
Eläimet,Animals
Eläin,Animal
Pupu,Bunny
Poni,Pony
Undulaatti,Parakeet
