Onnellinen,Happy
Väärin,Wrong
Kylmä,Cold
Iso,Big
Pieni,Small
Kiltti,Kind
Tuhma,Bad
Söpö,Cute
Hyvä,Good
Iloinen,Happy
Kipeä,Sick
Väsynyt,Tired
Sinkku,Single
Mahtava,Awesome
Ajoissa,Early
Myöhässä,Late
Hitaammin,Slower
Kiirestä,Busy
Hektistä,Hectic
Ihana,Lovely
Mukava,Nice
Hauska,Funny
Kaunis,Beautiful
Komea,Handsome
Ujo,Shy
Hiljainen,Quiet
Rehellinen,Honest
Hyvää,Good
Hyvin,Well
Paremmin,Better
Minä olen,I am
Mä oon,I am
Sinä olet,You are
Sä oot,You are
Se on,It is
Me olemme,We are
Me ollaan,We are
Te olette,You are
Te ootte,You are
He ovat,They are
He on,They are
Tämä,This
Insinööri,Engineer
Opettaja,Teacher
Opeskelija,Student
