Finnish,English
Minä olen,I am
Sinä olet,You are
Ole hyvä,You're welcome
Ei kestä,Don't mention it
Ei se mitään,It's nothing
Kiitos,Thank you
Onnea,Good luck
Hei,Hi
Heihei,Bye
Anteeksi,Sorry
Terve,Hello
Tervetuloa,Welcome
Kuka,Who
Mukava,Nice
Hauska,Funny
Kaunis,Beautiful
Komea,Handsome
Kippis,Cheers
Joo,Yes
Kyllä,Yes
Ei,No
Paljon,Lots
Jee,Yay
Ja,And
Aina,Always
Mies,Man
Nainen,Woman
Ihminen,Human
On,Is
Lapsi,Child
Valkoinen,White
Harmaa,Grey
Ruskea,Brown
Purppura,Purple
Violetti,Violet
Sininen,Blue
Vihreä,Green
Keltainen,Yellow
Oranssi,Orange
Punainen,Red
Vaaleanpunainen,Light red
Pinkki,Pink
Musta,Black
Ujo,Shy
Hiljainen,Quiet
Ystävä,Friend
Rehellinen,Honest
Tyttö,Girl
Poika,Boy
Sisko,Sister
Herra,Mr
Suomi,Finland
Suomeksi,In Finnish
Suomea,Finnish
Tämä,This
Maa,Country
Hyvä,Good
Todella,Very
Rouva,Mrs
Isä,Father
Maanantai,Monday
Tiistai,Tuesday
Keskiviikko,Wednesday
Torstai,Thursday
Perjantai,Friday
Lauantai,Saturday
Sunnuntai,Sunday
Tammikuu,January
Helmikuu,February
Maaliskuu,March
Huhtikuu,April
Toukokuu,May
Kesäkuu,June
Heinakuu,July
Elokuu,August
Syyskuu,September
Lokakuu,October
Marraskuu,November
Joulukuu,December
Maalit,Goals
Maali,Goal
Tehdä,To do
Syntymäpäivä,Birthday
Syntymäpäivät,Birthdays
Kuu,Moon
Kuukaudet,Months
Viikonpäivät,Days of the week
Huomenta,Morning
Nähdään,See you
Okei,Ok
Selva,Ok
Mennään,Let's go
Hitaammin,Slower
Opiskelen,I study
Koira,Dog
Kissa,Cat
Järvi,Lake
Yö,Night
Päivä,Day
